id "A" "L" "\chi" "\beta" "C_1" "C_2" "v_1" "v_2" "\dot v_1" "\dot v_2" "\dot h_1" "\dot h_2" "\dot \psi_1" "\dot \psi_2" "hmd" "vmd" 
18 4 2 1 205.194 2 2 147.986 193.609 -0.585504 -1.26944 0 0 0 0 0.357719 732.487 
19 4 2 1 214.431 2 2 166.105 71.9925 0 0 0 0 -0.696926 0.890926 0.42398 474.727 
20 4 1 1 93.0616 2 2 220.779 120.55 1.70524 0 0 -451.891 -2.01716 0 1.28943 369.318 
21 4 2 1 189.471 2 1 258.371 86.213 1.58504 0 0 -901.07 1.9825 0 0.835224 796.509 
22 4 1 1 169.284 2 1 68.6713 177.004 0 0 0 0 0 0 0.253487 141.996 
23 4 1 1 255.198 2 2 227.456 193.829 0 0 0 0 -0.940939 -0.323635 1.98962 215.383 
24 4 2 1 127.151 2 1 203.047 253.855 0 0 -599.633 0 0 0 1.11309 526.731 
25 4 2 1 174.196 2 2 173.881 174.997 0.33258 0 0 0 -0.496976 0 0.976639 400.433 
26 4 1 1 211.152 2 2 152.741 80.9946 0 0 0 0 0 0 0.698432 431.944 
27 4 1 1 263.541 2 1 227.843 95.7329 0 0 0 0 0 -3.29501 0.99685 151.754 
28 1 2 2 217.353 2 2 291.049 272.711 1.94973 -1.97271 1280.63 0 -0.846633 0 0.746535 52.598 
29 4 1 1 152.025 2 1 133.354 73.4198 0 0 0 0 0 -0.923323 0.25929 10.2957 
30 4 3 1 304.974 2 1 309.164 79.1703 0.332868 0 1612.25 0 0 -0.401056 0.892373 51.2104 
31 4 2 2 334.329 1 2 183.711 286.282 0 1.52058 0 -828.049 0 0.954842 0.608095 576.563 
32 1 1 2 204.028 2 2 180.692 103.248 0 0 0 -896.769 0.281471 1.31881 0.0401542 423.098 
33 4 1 1 145.769 2 2 112.699 123.612 0 0 0 0 0.641485 0 0.202108 468.995 
34 4 3 2 151.163 2 1 137.953 171.413 0 0 0 0 0 -1.00121 0.0485304 182.506 
35 4 1 1 353.395 2 1 535.227 192.619 -2.7188 0 -2731.37 0 -0.415038 -0.759994 2.56168 432.427 
36 4 2 2 226.966 2 1 266.474 157.456 0.404624 0 0 0 0 0 0.142894 689.865 
37 1 1 1 204.658 2 1 195.718 60.6598 0 0 -943.219 0 0 0 0.06253 358.511 
38 4 1 1 223.41 1 2 81.1342 111.414 0 0 0 0 -1.81982 0 0.614497 367.192 
39 4 2 2 44.9401 2 1 93.3389 197.098 0 0 0 0 -0.52342 0 1.81227 508.261 
40 4 2 1 278.472 2 2 177.446 161.83 0 1.81006 0 0 0 0 0.073818 637.342 
41 4 1 2 276.643 2 2 151.549 233.813 0 -1.79437 0 -3196 0 0 0.3335 781.06 
42 4 3 2 188.999 2 2 289.196 336.047 0 1.13981 -1714.92 1990.24 0 0.683244 0.392362 2481.03 
43 4 1 1 208.836 2 2 77.683 184.435 0 0 645.495 0 0 0.860904 0.431476 513.62 
44 4 2 1 178.196 2 2 78.3182 83.7475 0 0 0 0 3.63156 0.959639 0.465522 699.356 
45 4 1 2 198.701 2 2 157.373 62.9099 0 0 0 0 -2.2219 0 0.040228 678.977 
46 4 1 1 196.732 1 2 166.633 88.2934 0 0 0 0 0 0 0.682396 599.495 
47 2 1 2 134.315 2 2 286.375 177.857 0 0 -936.693 0 -1.75967 -0.710482 0.323654 658.298 
48 4 1 1 137.746 2 1 107.818 181.072 0 0 610.94 593.595 0.657553 0.273489 0.0879144 391.616 
49 4 1 2 177.859 2 1 50.651 193.469 0 0 -861.099 0 0 0 0.434864 217.364 
50 4 2 1 189.859 2 2 79.4622 197.537 0 0 0 0 -4.40351 0.911895 0.358109 329.215 
51 4 2 2 212.802 2 1 185.607 198.419 0 0 0 0 0.317991 0.658136 0.297372 598.397 
52 4 1 1 128.413 2 1 68.067 130.802 0 0 0 0 0 0 0.169066 234.39 
53 1 1 1 339.929 2 2 143.072 297.406 0 -1.47405 0 0 0 0 0.661225 210.844 
54 4 2 2 92.8815 2 2 167.515 171.824 0 0 0 0 -0.86264 0.564591 0.091052 569.324 
55 4 1 1 297.639 1 2 182.036 252.927 0 -1.8678 0 0 2.52107 -0.973271 0.82477 490.332 
56 4 2 1 159.674 2 2 375.687 116.309 -0.507331 -1.44661 -1969.09 -592.052 -0.833454 0.433642 1.10075 558.979 
57 2 2 1 161.02 2 2 184.536 73.3803 0 0 0 0 0.673537 4.45768 1.48753 537.94 
58 4 1 2 97.4146 1 2 115.276 83.0504 -1.26643 0 0 0 0 -0.519652 0.8155 409.83 
59 4 1 2 320.461 2 1 139.791 143.936 0 0 0 451.095 0.96855 0.538101 0.534481 774.785 
60 4 1 2 198.838 1 2 138.61 101.593 0 0 0 866.359 -0.850937 -0.838981 0.0591326 747.954 
61 1 1 2 307.306 2 2 177.61 161.625 0 0.337606 0 0 0 0.601929 0.0197715 499.405 
62 4 2 1 159.748 2 2 164.847 103.919 0 0 843.188 0 0 -0.638078 0.77919 371.028 
63 4 2 1 229.711 1 2 173.682 175.538 0 0 0 0 0 0.729505 2.59081 426.733 
64 4 2 2 25.0857 2 2 76.8368 251.523 0 0 0 0 -0.917265 0.57165 1.05027 599.837 
65 4 2 2 245.545 2 1 286.546 126.685 0 0 -733.165 0 0.250007 -0.692592 0.827632 755.849 
66 4 2 1 166.352 2 2 142.581 187.434 0.651151 0 566.048 0 -2.56434 -2.52211 2.11615 745.512 
67 4 1 1 269.127 2 1 111.006 109.818 0 0 0 0 0 0.696233 0.432584 608.844 
68 4 2 1 185.136 1 2 141.19 158.649 0 0 1476.46 0 0 0 2.73446 460.112 
69 4 2 1 83.4598 1 2 108.207 316.877 0 0 0 0 0.638508 0 1.51413 322.448 
70 1 1 1 174.364 2 2 57.4335 158.276 1.06863 1.87911 0 0 1.25129 3.15265 0.875818 288.72 
71 2 1 1 215.296 2 2 102.631 99.9462 0 0 960.492 693.768 0.325236 0.630638 0.568878 133.537 
72 4 2 1 231.959 2 1 119.499 56.9668 0 0.645718 0 0 -0.597729 -1.62504 0.782118 384.256 
73 4 1 1 10.6992 1 2 59.1803 175.7 0 0 0 0 -0.270952 0 0.159989 241.183 
74 4 1 2 162.139 2 1 149.651 182.647 -1.87947 0 0 -733.513 0 -0.385211 0.201445 464.797 
75 4 2 1 103.735 2 2 194.804 214.294 0 0.755667 0 1803.42 -1.89461 0 2.65402 727.693 
76 2 1 1 68.4721 2 2 189.411 306.712 0 -0.644907 0 -779.514 -2.99708 -0.812777 1.39366 471.8 
77 4 1 2 177.459 2 2 155.863 139.544 0 0 0 0 -0.931585 0.575987 0.0689847 198.973 
78 1 2 2 270.79 2 2 190.493 173.411 0 0 0 0 0.571651 0 0.454217 619.863 
79 4 2 2 198.964 2 2 57.4198 111.72 -0.61528 -1.0296 0 0 0 -1.14764 0.445786 612.039 
80 4 2 2 218.262 2 2 116.864 131.48 0 0 0 0 -3.21121 0 0.582649 504.621 
81 1 3 2 3.38142 2 2 434.508 538.341 0 -1.40202 0 0 -0.771262 -0.51242 1.18567 489.231 
82 4 1 2 134.271 1 2 139.398 185.051 0 0 -570.03 0 0 0 0.882138 414.074 
83 4 3 2 201.405 2 2 362.945 230.027 0 1.96767 0 636.329 0 0 0.102691 3693.9 
84 4 2 2 247.118 2 1 193.378 74.2594 0.577867 1.0464 0 0 0.898845 -0.480261 0.603742 430.374 
85 4 2 1 281.082 2 1 105.946 126.682 0 0 0 0 0 0.497522 0.0252943 600.91 
86 4 1 1 291.663 2 1 189.292 102.388 0.71137 0 0 724.41 0 1.89764 2.86547 278.299 
87 4 3 2 131.271 2 2 151.14 121.014 0 0 0 0 -0.503301 5.43586 0.702769 679.096 
88 4 2 1 133.237 2 1 303.417 56.9139 0 0 -966.681 0 0 0 2.08744 385.815 
89 4 1 1 114.286 2 1 53.1989 185.948 0 -1.39988 0 0 0.980117 -0.87528 0.503799 324.65 
90 4 3 1 165.443 2 1 147.623 114.159 0 1.44028 0 1238.22 0 0 0.946213 4796.55 
91 3 1 1 173.754 2 1 84.4228 128.078 0 0 0 0 -0.957405 0 0.697186 426.235 
92 4 1 1 125.991 2 2 120.71 140.396 1.66078 0 0 980.484 0 -1.36663 1.23989 749.373 
93 4 2 2 265.01 2 1 171.516 85.3555 0 0 -819.236 0 0 0 0.624439 576.641 
94 3 1 1 169.12 2 1 50.9047 172.562 0 0 0 0 0 -0.67437 0.243269 590.817 
95 2 1 2 242.989 2 2 50.1074 196.374 0 0 607.531 -946.55 -0.929204 0 0.857911 361.194 
96 2 1 1 61.8908 2 2 171.407 183.357 0 0 0 0 -2.75162 -0.957436 0.672119 233.851 
97 1 1 2 176.28 1 2 76.4662 180.464 0 0 0 0 -3.35691 0.406413 0.412891 203.669 
98 4 2 1 165.252 2 2 253.344 151.841 0 0 -528.203 0 -0.933838 0 0.603737 526.026 
99 4 2 2 24.4209 2 1 159.505 110.597 0 0 0 0 3.02367 0.935294 1.26641 635.113 
100 4 2 2 165.531 2 1 191.726 53.353 0 0 0 0 -1.53364 -0.558374 0.00398162 533.648 
