id "A" "L" "\chi" "\beta" "C_1" "C_2" "v_1" "v_2" "\dot v_1" "\dot v_2" "\dot h_1" "\dot h_2" "\dot \psi_1" "\dot \psi_2" "hmd" "vmd" 
21 4 5 1 317.408 1 1 471.477 263.615 0 -1.56001 0 0 -0.489561 3.01221 2.43894 4974.79 
22 4 2 1 208.021 2 1 345.799 84.5637 0 3.88215 0 0 0 7.44722 0.177885 319.69 
23 4 3 2 254.305 2 1 445.739 204 0 -1.68765 0 0 0.576082 0.675569 0.477332 215.277 
24 4 2 1 192.415 2 1 523.577 82.6393 -1.1097 1.46568 0 0 -2.18626 6.44452 0.372086 193.186 
25 4 2 2 287.436 2 2 86.8587 291.164 1.20858 0 0 0 -3.93245 0.890644 0.859066 369.718 
26 4 2 2 86.1615 2 1 135.568 69.9295 -0.634237 0 0 0 0 -7.35901 0.630529 777.643 
27 4 5 1 95.2526 2 2 502.794 460.563 0.250752 -1.02219 0 0 0 -2.9183 0.0412516 1291.45 
28 4 2 2 169.066 2 2 89.9991 319.683 -2.07775 -0.734462 0 0 0 -5.80778 1.61111 782.469 
29 4 2 2 42.7521 1 1 271.465 315.503 0 -0.91615 0 0 6.96132 0 1.17625 57.1819 
30 4 2 2 184.345 2 1 368.235 99.7905 0.853464 -0.610474 910.584 0 0 0 1.10837 748.12 
31 4 2 2 80.7574 2 2 520.561 207.817 1.57536 1.29923 0 0 -0.30166 -3.26283 2.62725 477.402 
32 4 2 1 202.404 2 1 363.929 228.384 0 0 0 -943.593 -0.797567 0 0.983691 751.543 
33 4 2 1 145.789 2 1 331.06 66.9978 -0.865076 0 0 -859.298 -3.24962 0 0.643953 503.8 
34 1 2 2 228.048 2 1 231.751 512.735 0 -1.34508 0 0 1.37542 -1.83584 0.456654 635.077 
35 4 2 2 115.57 2 1 53.6744 531.892 -1.89446 -0.402438 0 0 0 0.317227 0.853573 68.2781 
36 4 3 2 136.298 1 2 361.717 266.174 0 -1.93828 0 0 0.31273 7.08312 0.0781894 57.5219 
37 4 2 2 262.848 2 2 155.757 215.454 0 0 0 -452.154 -0.937318 -0.94631 2.86873 651.005 
38 4 4 2 155.889 2 2 493.782 275.431 4.25425 0 0 2391.22 0.59948 -7.31513 0.439355 223.6 
39 1 2 1 222.135 1 2 422.276 282.606 4.13759 1.47343 0 0 0.53798 -5.70564 0.389615 781.279 
40 4 2 2 122.925 2 1 343.346 411.146 -1.777 0.696424 -538.464 0 0 -3.77735 1.86187 1584.18 
41 4 3 1 35.7952 2 2 91.8946 524.126 -3.74979 -0.45352 -1818.64 -2759.49 -1.50984 0 0.924286 524.863 
42 4 2 2 13.1017 2 2 59.4238 258.152 4.28836 1.26306 0 0 -6.94989 -7.69131 0.58834 51.3007 
43 4 2 2 246.09 2 2 196.694 195.558 -0.368905 -0.321334 0 -1281.37 -0.440999 0 1.11338 654.109 
44 4 2 2 210.318 2 1 273.298 125.267 0 -1.25933 0 -453.684 -5.04463 3.29108 1.59855 707.909 
45 4 2 1 299.001 2 1 196.2 203.453 0 1.71764 0 0 -3.45718 0 0.0386108 434.598 
46 4 2 2 163.096 2 2 505.787 126.897 1.41057 -1.49789 0 0 0 -3.11768 0.687163 870.435 
47 4 2 1 212.348 2 1 243.205 141.488 0 -1.86423 1617.59 0 -2.66355 3.44705 0.0229041 859.134 
48 4 2 1 199.764 2 2 292.493 292.83 0 0 0 0 4.56009 -0.636433 0.281683 156.817 
49 4 2 2 242.155 2 1 110.842 473.595 0 -0.925315 0 0 -1.28334 -2.06446 1.84179 142.943 
50 4 2 2 87.9949 2 1 327.663 459.718 0 -4.85741 0 0 0 3.5935 2.17366 496.043 
51 4 3 2 166.933 1 1 88.3139 265.489 -1.91531 0.339679 761.422 0 0.53738 7.92401 0.0525775 170.448 
52 4 2 2 243.481 2 1 347.503 436.917 0 -1.65167 0 0 2.62739 -0.970858 0.100456 810.154 
53 4 2 2 208.907 2 2 455.073 155.805 0.978128 0.803815 0 0 0 3.47074 1.24854 706.003 
54 4 2 1 140.426 2 2 228.562 216.188 -1.02215 -4.81638 -1531.19 0 0 -0.773103 0.00595574 75.8357 
55 4 2 1 161.973 2 1 431.051 50.1454 1.29401 0 0 2080.28 0 1.3747 1.92418 540.59 
56 4 2 1 45.2969 2 1 358.864 183.101 0.736056 -1.15558 0 0 0 -7.443 1.53499 244.892 
57 4 2 1 209.579 2 2 471.073 294.254 -1.08856 0 0 0 -0.710597 3.21755 0.0608332 868.818 
58 4 2 2 248.801 2 1 350.78 108.924 -1.4547 3.23303 0 2163.63 -0.514918 -1.60901 2.76914 33.4578 
59 4 2 1 13.1043 2 2 81.0734 543.809 -2.02919 -3.94063 0 -760.777 -4.52442 0.783239 1.29813 414.896 
60 4 2 1 292.203 2 2 419.411 453.657 -0.735495 -2.37136 0 524.383 0 7.91324 0.744437 851.889 
61 4 2 2 265.955 2 2 234.275 241.46 -2.69277 1.50136 0 1529.19 -0.388522 -2.33753 0.603719 777.13 
62 4 2 2 95.5828 2 2 147.99 213.923 0 0.518294 0 0 -0.724473 -2.55481 0.778615 228.969 
63 4 2 1 141.997 2 2 70.0652 199.286 0 0 843.708 -445.56 0 0 2.62653 627.297 
64 4 3 1 6.14984 2 2 364.432 550.253 0 0 0 -487.698 0 -0.991613 0.786164 889.431 
65 4 2 1 256.21 2 2 235.13 174.441 -0.275945 0 1518.8 0 -3.98345 4.90884 0.944819 783.814 
66 1 2 2 62.5158 2 2 273.404 391.281 -0.297632 0.649066 0 -729.241 -0.466256 -0.821059 2.13359 178.895 
67 4 2 2 259.223 2 1 509.879 72.0538 -1.29542 1.27215 0 0 0.323474 4.85218 1.39285 724.645 
68 4 2 2 252.402 2 2 90.4097 106.971 0 -0.478348 -489.56 0 4.61827 -6.91586 0.838107 718.42 
69 4 2 2 312.746 2 1 542.866 200.573 0 0.676387 0 0 0 1.83434 0.353477 175.04 
70 4 2 1 124.25 2 1 87.173 365.958 -4.19187 -0.433618 0 0 2.102 4.51621 0.464152 649.936 
71 4 2 1 227.421 2 1 72.8485 341.044 0.295832 0 0 0 0 0 2.15216 787.553 
72 4 3 1 114.535 2 2 487.449 458.329 -1.1146 -0.801334 0 0 -3.40135 3.45875 0.0302565 96.7225 
73 4 3 1 169.267 2 1 282.208 495.094 0 0.967337 0 0 -0.418347 7.72733 2.06164 61.585 
74 1 2 2 175.201 2 2 310.452 434.316 0 -1.34061 0 -550.397 0.32778 0 0.655005 752.895 
75 4 2 2 194.551 2 2 495.276 255.257 0 0.782415 0 0 -0.922437 7.96882 0.778763 762.906 
76 4 2 1 183.766 2 1 360.092 396.4 -0.541538 0.416499 0 0 0 3.98295 1.16364 709.561 
77 4 2 1 263.907 2 1 491.848 297.634 -4.49633 0 961.718 966.252 0.929492 0 1.06831 268.137 
78 4 2 2 306.537 2 2 450.054 204.811 1.24789 1.68556 0 0 0 -4.65058 0.791131 886.796 
79 1 2 2 22.8575 2 2 556.316 222.251 4.82173 0 0 0 0 0 2.58059 339.698 
80 4 3 1 305.646 1 2 303.074 257.962 -1.04686 0 0 -1894.05 0 0 0.787535 118.008 
81 4 2 2 179.964 2 1 259.73 93.6687 0 2.65107 0 1835.15 -0.348821 -3.31783 1.14589 841.56 
82 4 2 2 23.8082 2 2 586.206 247.069 -4.68516 -4.80718 0 0 -0.985339 7.15665 0.895413 836.839 
83 4 2 2 114.267 2 2 434.699 286.308 0 -2.65666 0 0 0.373465 -0.335122 0.379484 169.359 
84 1 2 2 176.315 2 2 498.022 392.139 -3.33439 -1.75268 0 0 -4.10573 -1.57253 0.133332 854.894 
85 4 3 1 348.041 2 2 585.694 379.135 -1.53024 -1.4487 0 0 -0.957073 -0.796292 1.3688 748.441 
86 4 2 2 173.435 2 2 366.389 268.925 0 -0.667631 0 0 0 0.459708 0.155323 421.981 
87 4 2 2 113.144 2 2 438.546 284.1 -1.71248 0 0 0 2.86446 -4.17718 2.88273 536.629 
88 4 2 2 231.298 2 1 375.014 361.564 -1.69185 -0.857993 0 0 -2.23628 -0.825049 0.279511 52.7601 
89 4 2 1 111.149 2 2 77.5264 348.273 2.16858 0 0 0 0 1.72199 0.45989 128.17 
90 4 2 1 225.881 2 2 577.686 338.244 -0.891318 -1.09803 -768.083 0 -0.425651 6.68694 0.523352 780.89 
91 4 3 2 154.389 1 1 278.706 403.334 0 -0.87535 0 -1152.85 -3.34092 0 0.449882 167.236 
92 4 2 2 79.0573 2 1 71.5842 293.992 4.38355 -1.24168 0 -764.697 -1.72507 2.40031 0.248309 730.923 
93 4 2 1 192.893 2 2 308.217 371.252 0 -0.897928 0 0 -0.551541 3.25383 0.505327 142.361 
94 4 2 1 127.866 2 1 494.046 54.283 -0.426592 -0.979481 -571.69 0 -0.90039 0 0.0143985 5699.63 
95 4 3 1 225.065 2 1 120.301 312.757 1.92968 -1.0223 -646.357 -1996.95 0.715271 -2.26515 0.529154 198.018 
96 4 2 1 209.376 2 2 67.1253 283.394 -1.15479 2.69675 0 1550.6 0 -2.888 1.46398 253.834 
97 2 2 1 137.636 2 2 363.833 264.265 -0.632342 -0.78147 0 1557.44 0 0 0.0116712 217.166 
98 4 2 2 182.426 2 1 363.543 457.306 0 0 0 0 1.84191 6.95001 2.02682 463.941 
99 1 2 1 192.948 2 2 52.5737 383.165 -1.61765 0 0 0 2.92969 -0.450356 2.83936 4543.72 
100 1 2 2 358.798 2 2 384.406 116.147 -1.90889 -1.35514 0 0 -0.660373 0 0.0431527 5013.46 
101 4 2 2 21.246 2 2 461.592 258.827 -0.605444 0 0 0 -4.56531 -2.65638 0.0503276 681.612 
102 4 2 1 308.616 2 1 125.996 558.259 2.36306 1.96031 0 0 0 0 2.80666 528.299 
103 4 2 1 122.993 2 2 356.272 438.281 -0.302799 -0.759594 0 -731.052 0 0 2.7098 734.617 
104 4 3 2 324.795 2 1 178.681 67.2724 -0.528754 1.26867 0 0 1.69446 1.06202 0.0434708 452.707 
105 4 3 2 84.6856 2 1 533.451 323.846 -1.85204 -1.74063 -1544.26 0 0 0 0.548039 256.785 
106 4 2 2 237.575 2 1 140.551 502.707 0 -0.784241 -1438.95 0 -7.04152 -7.93853 1.90847 346.632 
107 4 2 2 272.562 2 1 377.261 118.597 0 -0.323028 0 -629.081 0 -1.9115 0.347869 751.147 
108 4 2 2 100.257 2 2 81.7728 198.885 0 -1.18787 0 -741.383 -3.22914 1.63805 0.524522 453.675 
109 4 2 1 210.971 2 1 495.962 367.403 -1.02448 -0.889804 -493.603 0 0 -2.93697 2.12576 258.766 
110 4 2 1 261.361 2 2 71.5023 158.308 -4.28732 -1.44638 406.125 0 0 7.92359 1.8454 270.548 
111 4 2 1 214.907 2 1 457.111 226.273 0 0.438412 0 656.878 0.368012 -0.533905 0.262909 2917.93 
112 4 2 2 21.3635 2 1 581.049 65.0729 0 -0.629016 0 0 0 1.70062 2.17676 813.518 
113 4 2 1 220.872 2 2 455.535 277.335 1.56016 0 0 0 0 0 0.944049 2976.94 
114 4 2 2 134.246 2 1 326.562 66.5219 0 2.49991 -894.029 0 0 0.848364 0.994755 1272.85 
115 4 2 2 112.435 2 1 145.881 376.915 -1.74041 0.846401 0 646.194 -0.668428 -7.77911 0.122142 581.118 
116 4 2 1 63.0412 2 1 273.832 76.9894 1.15446 4.88998 0 0 0 -7.64341 0.0359924 149.563 
117 4 2 1 79.1127 2 1 365.79 510.816 -0.705552 1.60647 0 0 0 -3.4818 0.667077 401.337 
118 4 2 2 160.664 2 2 430.643 219.562 2.71186 0 0 0 0 0 0.476916 724.669 
119 4 5 1 173.463 2 2 343.573 330.524 0 -1.62293 0 0 -0.673005 -1.64933 0.196491 277.342 
120 4 2 1 296.95 2 2 584.556 246.347 0 1.17376 0 0 -0.822374 0 0.187595 724.783 
121 4 2 1 16.1925 2 1 419.581 431.143 1.08149 -1.10002 0 0 0.459144 5.19288 2.72022 514.419 
122 4 2 1 295.254 2 1 387.201 57.9771 -0.620438 -4.02929 -1673.66 0 -0.673602 -3.44734 0.695678 16.0811 
123 4 2 1 203.337 2 2 439.482 343.622 -1.49577 1.82797 803.774 0 0 5.2046 2.81513 813.019 
124 4 5 2 189.387 2 2 472.972 114.088 1.0014 -0.285183 0 3186.68 0 5.74688 0.234397 133.539 
125 4 3 1 195.571 2 2 59.1106 269.58 1.59879 0 0 0 0.524251 5.95415 0.577016 791.467 
126 4 2 2 323.179 2 2 325.286 110.48 -0.25721 0 0 0 0 0.579322 0.668202 755.262 
127 4 2 2 149.308 2 1 562.56 210.861 -1.86844 1.22218 0 0 -1.79228 -2.04641 0.234348 598.84 
128 4 3 2 100.112 2 2 269.598 568.744 0 0 -733.378 4656.73 0 7.27436 0.0115594 415.757 
129 4 3 2 144.201 1 2 251.842 332.609 0 -1.81558 -1070.22 0 0 0 0.344752 694.87 
130 4 3 1 13.8332 2 1 469.13 469.818 0 -1.33623 0 2263.56 -0.976903 -6.61021 0.890945 238.432 
131 4 3 1 17.8864 2 1 227.509 78.518 0 -1.63811 2017.42 2986.05 -2.95196 -7.87081 1.65643 4750.52 
132 4 2 2 166.6 2 1 54.7242 535.453 2.09858 0 0 0 0 7.84131 0.25669 259.454 
133 4 2 1 154.351 2 2 343.282 227.25 0 0 0 0 0.483486 -7.75491 0.536335 212.941 
134 4 2 1 278.815 2 1 455.784 566.919 0 0.601457 630.924 0 -0.4643 -3.32857 2.54548 498.625 
135 4 2 2 161.998 2 2 59.5398 289.677 -0.396758 -3.63571 0 2520.67 0 0 0.647096 4042.51 
136 4 2 1 219.184 2 2 311.624 303.204 0 -0.259072 0 0 1.31335 -0.855483 0.92115 85.0979 
137 1 2 2 155.535 2 2 437.356 178.579 -1.43287 0 0 0 -2.67605 0 1.24177 724.758 
138 4 2 2 72.0512 2 2 352.364 203.249 -0.682963 0.547307 0 0 0 -0.757335 0.0567133 4360.61 
139 4 2 2 195.607 2 2 271.427 271.956 1.53961 0.399996 0 0 0.419972 -0.42468 0.355843 4264.31 
140 4 2 2 157.614 2 2 373.288 345.628 0 0 -1174.91 0 -0.342728 0 2.75787 3575.91 
141 4 3 2 94.8349 1 2 515.122 537.919 0 1.54307 0 -588.397 0 -2.61196 1.63898 510.202 
142 4 2 1 193.916 2 2 516.178 85.1669 0 0 0 1792.17 0 0 0.707946 726.893 
143 1 2 1 194.565 2 1 469.41 437.123 0 -2.95735 0 0 -0.352873 -0.427759 1.94483 268.954 
144 4 2 2 80.7035 2 2 470.421 531.601 3.23392 0 0 939.207 0 -4.49268 0.471208 270.055 
145 4 2 1 180.917 2 1 293.393 211.375 0 1.37162 0 0 0 -0.949811 0.637542 2785.54 
146 4 2 2 144.676 2 2 295.001 210.422 0 -1.03056 0 0 0 -0.846212 2.14151 806.977 
147 4 2 1 329.48 2 1 446.239 501.132 1.83635 3.72884 1608.71 0 0 0 1.89152 847.319 
148 4 2 2 151.705 2 1 205.471 180.327 -1.25527 -4.69841 0 -938.914 0.264145 0 0.620628 60.3277 
149 4 3 2 337.253 2 2 207.385 214.208 0 0 -535.739 0 0 7.02839 2.01267 597.64 
150 4 2 2 346.243 2 1 337.859 498.977 -1.60363 -4.05808 0 0 0.323906 -1.25232 0.0767537 719.017 
151 4 2 2 329.571 2 2 341.911 273.155 -2.70287 -4.52447 1472 -1940.12 1.01862 0 0.393352 5783.97 
152 4 2 2 276.89 2 2 263.504 128.377 0.49171 1.72936 0 0 0 2.63325 0.800872 2686.13 
153 4 2 2 194.32 2 1 77.5829 85.0646 1.15766 1.91041 0 0 -0.772533 0 2.86316 725.213 
154 4 2 1 48.9139 2 2 466.77 259.163 -2.15805 0 0 0 0 0 0.0542183 786.864 
155 4 2 2 152.612 2 1 464.983 78.5167 1.26586 -3.43223 0 0 -2.53565 -5.56225 0.387593 449.514 
156 4 2 2 131.465 2 2 219.03 230.095 -0.449271 0.845145 -1330.13 0 0 -7.82177 0.595837 5245.44 
157 4 2 2 121.19 2 2 222.308 146.135 -1.12092 -1.74667 -417.033 0 -0.57076 -0.625662 2.33904 738.553 
158 4 2 1 176.827 2 1 315.932 344.061 -0.38816 0 0 0 0 -6.46645 0.595239 634.975 
159 4 2 2 59.5916 2 2 234.516 545.122 1.95985 0.364834 0 550.769 0 4.63781 0.50926 806.722 
160 4 2 2 184.341 2 1 219.624 63.9777 0 0 0 0 -1.73454 -0.831282 0.159076 722.543 
161 4 2 2 240.501 2 1 433.169 284.675 0 -1.50274 0 0 0 1.44022 1.99609 711.652 
162 4 2 1 135.587 2 2 455.733 355.294 -2.50997 0 0 0 0 -1.89121 2.21955 475.3 
163 4 2 2 69.3144 2 1 84.1762 158.409 -1.54112 1.05271 -712.45 0 0.384381 5.54869 0.230922 226.55 
164 4 2 2 192.456 2 1 522.628 102.37 -0.80562 -0.634371 0 -1815.41 0.879635 2.54441 0.562775 513.624 
165 4 2 2 151.042 2 1 409.334 89.0784 0 1.64165 -809.034 0 0 7.12386 2.40936 794.752 
166 4 2 2 266.585 2 2 366.193 138.071 -1.00256 0 -1129.24 0 0 0.684787 0.140106 887.013 
167 4 2 1 154.329 2 2 415.236 254.867 -3.89313 0 0 0 0 0 0.396402 680.584 
168 4 3 2 170.548 2 1 454.143 165.199 1.89351 0.818346 0 2142.85 0 -1.85505 0.0584604 149.975 
169 1 2 2 152.233 1 2 310.054 302.334 -0.290084 -1.16766 0 0 -0.88154 -2.38332 1.87566 458.823 
170 4 3 1 65.6543 1 1 75.2332 448.496 4.10282 0 0 0 0 -0.643939 2.68732 541.416 
171 4 2 1 29.1678 2 2 503.493 221.879 -4.63606 0 0 0 -0.582398 2.33028 0.00199258 795.722 
172 1 2 1 139.203 1 2 229.418 231.199 1.37198 3.84882 0 0 0 4.24013 2.84771 758.696 
173 4 2 1 127.689 2 2 333.207 268.331 -0.702353 1.25848 -513.973 0 -2.55473 0 1.25044 661.592 
174 4 2 1 106.882 2 2 218.814 183.075 -1.03266 -4.58653 0 0 0 3.67377 0.964783 472.821 
175 4 2 2 132.605 2 1 208.073 297.637 -3.02509 1.07244 0 0 2.06763 0 1.1067 723.483 
176 4 2 1 178.527 2 1 252.541 159.662 0 -0.495594 0 0 1.54167 -0.567994 1.34863 120.82 
177 4 2 2 60.2314 2 1 431.446 278.135 -0.916348 1.25601 0 0 -1.18669 -2.38758 1.47044 480.294 
178 4 2 1 96.2556 2 2 475.022 219.768 -3.78853 -3.41908 0 0 0 0.881421 1.96421 370.482 
179 4 2 2 100.16 2 1 396.424 56.1012 -1.34591 1.21562 0 0 0 -6.4953 0.581451 772.152 
180 1 2 1 243.992 2 1 462.368 482.825 4.10733 1.34357 0 0 -0.979181 -1.45868 0.0471875 95.121 
181 4 2 2 179.211 2 2 469.034 135.971 1.52358 1.29481 -1762.95 0 -0.332254 6.96139 0.468592 493.77 
182 4 2 2 306.331 2 2 397.441 235.83 -0.775417 0.8906 0 0 0 0 2.38036 2993.75 
183 4 2 1 66.3657 2 2 538.364 234.581 -3.70805 1.8297 0 0 0 0.602982 2.62998 759.287 
184 4 2 2 175.847 2 1 296.888 51.7383 0 -3.76466 0 0 2.62845 -1.33123 0.0462895 667.765 
185 4 2 1 46.9377 2 1 264.005 406.026 0 -2.59976 0 0 -4.62084 0 2.11466 888.85 
186 1 2 2 235.076 2 1 230.524 529.426 0 0 0 0 0.606599 -0.530363 2.01868 258.834 
187 4 2 1 175.369 2 2 406.807 237.492 0.793738 0 0 0 0 0.616949 0.679379 758.004 
188 4 3 1 219.405 2 1 410.785 268.393 -0.951284 0 2386.81 -636.564 -0.677398 -2.3145 0.920316 788.815 
189 4 2 2 133.728 2 1 386.628 214.353 0 -1.01094 0 0 -2.47108 0.33846 0.32182 112.945 
190 4 2 1 317.508 2 1 321.605 502.526 1.37478 -0.86122 2878.33 0 0 0 2.05698 450.878 
191 4 2 2 302.683 2 2 348.37 361.8 0.443228 0 -720.091 0 1.23593 0.378854 0.613745 223.062 
192 4 2 2 60.0159 2 2 495.417 272.707 1.58611 0 0 0 0 -0.400421 0.656996 701.484 
193 4 2 1 139.485 2 1 553.306 70.2262 0 -1.75405 0 0 -0.271524 0.985169 0.394156 715.345 
194 4 2 1 158.515 2 2 402.76 232.598 0.411261 2.73947 0 0 0 6.66677 2.32839 409.247 
195 4 2 2 84.496 2 1 378.4 139.461 -1.16998 -1.22343 0 0 0 0.64434 2.95571 55.7888 
196 4 2 1 8.13759 2 1 67.0919 513.768 1.78347 -2.53759 4852.92 0 -1.29764 7.42917 0.0804195 348.833 
197 4 2 1 359.822 2 2 375.63 195.296 -0.765345 -4.56187 0 0 0 0 1.112 481.432 
198 4 2 1 187.424 2 2 200.801 590.685 0 -0.594535 0 -932.801 -0.285793 -0.520218 0.328616 41.9342 
199 1 2 1 102.701 2 2 226.218 75.7853 0 0 524.08 -405.432 2.61146 -6.74815 0.124234 696.401 
200 4 3 1 161.724 1 1 432.197 581.289 3.26654 1.87122 0 0 0 0 1.68954 713.279 
201 4 2 1 84.2131 2 1 490.363 374.794 -3.92197 -0.4279 0 0 2.98326 -2.15687 1.98456 768.286 
202 4 2 1 187.78 2 2 299.124 269.376 0 -1.60688 -952.9 0 0.81682 0 0.376111 758.564 
203 4 2 2 108.947 1 2 382.413 56.7284 0 -0.280662 0 -916.564 0 -1.63018 2.00346 705.431 
204 1 2 2 198.56 2 2 314.397 293.006 1.20716 1.5589 0 0 -0.30061 0.872989 0.915162 588.781 
205 4 3 2 120.073 2 2 53.911 382.653 -1.84039 0 -654.466 0 0 -3.12395 1.22388 785.309 
206 4 2 2 197.16 2 2 156.58 255.044 0 0 0 0 0 2.06229 1.02976 632.621 
207 4 2 2 196.167 2 2 287.843 239.64 -1.43055 0 -818.987 0 0 -0.523008 0.759176 132.735 
208 4 2 2 350.714 2 2 293.654 173.817 0 -0.845458 0 0 -2.35958 -0.724617 0.845194 748.738 
209 4 2 1 202.534 2 1 185.081 139.57 -0.72336 0 0 0 0.952631 3.3678 0.855578 259.646 
210 4 2 2 318.881 2 1 307.67 491.219 -1.0171 1.25009 0 -1591.97 -0.514386 3.97581 0.522009 418.521 
211 4 2 2 133.388 1 1 281.417 288.055 -0.608061 1.52578 0 -983.624 -0.978984 0 0.0193022 863.003 
212 4 2 2 201.224 2 1 87.4393 341.928 0 3.75876 0 0 -0.641598 0.955765 0.0224302 390.487 
213 2 2 2 328.605 2 2 78.6538 299.982 3.36175 1.17656 0 0 0 5.17792 1.06429 3248.23 
214 4 2 2 234.518 2 2 498.294 217.271 -0.99487 -3.77731 -748.314 0 2.65219 0 0.972829 790.832 
215 4 2 1 198.444 2 2 184.105 101.355 0.912851 -0.791027 -997.41 0 0 -5.12677 0.286609 676.027 
216 4 2 2 157.255 2 2 110.783 349.656 0 -1.19038 0 0 0 -4.04659 2.66115 585.314 
217 1 2 1 107.601 2 2 529.101 286.789 -3.5984 0.840388 0 0 0.911209 -4.08594 0.470843 694.135 
218 4 2 2 154.101 2 1 61.1056 262.364 -1.99722 0.479293 817.242 0 0 0.794146 0.279741 348.124 
219 1 2 2 242.029 1 2 497.319 414.808 -3.04586 0.790559 0 626.758 0 -2.34441 0.466172 5874.62 
220 4 2 1 158.34 2 1 355.181 252.957 0 0 0 652.808 -2.15643 1.33231 0.39104 548.48 
221 4 2 1 183.317 1 1 302.209 62.1824 -0.934322 0 0 0 5.53503 -0.644587 0.346422 4001.53 
222 4 2 2 218.112 2 1 483.555 263.389 1.96244 0 0 0 0.549125 0 1.99495 589.999 
223 4 2 1 268.04 2 2 485.986 280.497 -0.784019 1.04492 0 0 -2.38344 4.78267 0.220233 116.295 
224 4 3 1 265.871 2 2 226.494 268.466 -1.58198 -1.70167 0 0 -5.53532 -2.44232 0.640249 581.873 
225 4 2 1 229.16 2 1 128.075 78.097 -1.63051 -0.450406 0 0 -7.43761 0 1.34078 24.297 
226 4 2 2 189.193 2 2 583.377 256.431 0 2.59011 0 0 0 -6.7049 1.55413 708.889 
227 4 2 1 207.101 1 1 324.761 54.46 0 0 0 0 0 0 2.87982 587.298 
228 4 3 2 186.858 1 2 96.0826 450.691 -4.52908 -1.74666 0 -606.723 -3.32793 0.782912 2.51794 594.218 
229 1 2 2 181.289 1 2 437.458 293.76 3.44085 0 0 0 -1.23555 0 0.302678 103.118 
230 4 2 2 288.378 2 1 256.496 155.62 -1.94624 0 -2028.33 0 0.553143 0 1.85867 143.238 
231 4 2 1 43.765 2 2 365.397 206.996 0 0 -926.93 540.792 0 -3.06193 1.45457 496.602 
232 4 2 2 223.311 2 1 107.476 455.154 0 0 0 0 0 0 2.37251 603.314 
233 4 2 1 176.903 2 2 285.799 358.561 0.361506 0 0 0 0 -1.62637 0.0690998 876.591 
234 4 2 1 176.207 2 1 473.084 77.9634 0 -2.32901 1905.26 0 -0.33331 0.817331 0.195825 335.554 
235 4 2 2 214.672 2 2 79.2852 396.398 0 -0.591987 0 0 -0.94735 -6.23102 2.68867 538.707 
236 4 2 1 116.592 2 1 170.885 185.951 1.24864 -0.408618 0 -758.511 0 0.610118 0.645469 741.251 
237 4 5 2 66.9167 2 2 210.483 305.928 0 2.53042 0 0 1.8065 -2.70606 0.640683 827.832 
238 4 2 2 253.743 2 2 393.691 400.09 0 -0.651916 0 963.531 0 0.611036 0.0486084 90.5465 
